U+03010B: 𰄋
U+03010C: 𰄌
U+03010D: 𰄍
U+03010E: 𰄎
U+03010F: 𰄏
U+030110: 𰄐
U+030111: 𰄑
U+030112: 𰄒
U+030113: 𰄓
U+030114: 𰄔
U+030115: 𰄕
U+030116: 𰄖
U+030117: 𰄗
U+030118: 𰄘
U+030119: 𰄙
U+03011A: 𰄚
U+03011B: 𰄛
U+03011C: 𰄜
U+03011D: 𰄝
U+03011E: 𰄞
U+03011F: 𰄟
U+030120: 𰄠
U+030121: 𰄡
U+030122: 𰄢
U+030123: 𰄣
U+030124: 𰄤
U+030125: 𰄥
U+030126: 𰄦
U+030127: 𰄧
U+030128: 𰄨
U+030129: 𰄩
U+03012A: 𰄪
U+03012B: 𰄫
U+03012C: 𰄬
U+03012D: 𰄭
U+03012E: 𰄮
U+03012F: 𰄯
U+030130: 𰄰
U+030131: 𰄱
U+030132: 𰄲
U+030133: 𰄳
U+030134: 𰄴
U+030135: 𰄵
U+030136: 𰄶
U+030137: 𰄷
U+030138: 𰄸
U+030139: 𰄹
U+03013A: 𰄺
U+03013B: 𰄻
U+03013C: 𰄼
U+03013D: 𰄽
U+03013E: 𰄾
U+03013F: 𰄿
U+030140: 𰅀
U+030141: 𰅁
U+030142: 𰅂
U+030143: 𰅃
U+030144: 𰅄
U+030145: 𰅅
U+030146: 𰅆
U+030147: 𰅇
U+030148: 𰅈
U+030149: 𰅉
U+03014A: 𰅊
U+03014B: 𰅋
U+03014C: 𰅌
U+03014D: 𰅍
U+03014E: 𰅎
U+03014F: 𰅏
U+030150: 𰅐
U+030151: 𰅑
U+030152: 𰅒
U+030153: 𰅓
U+030154: 𰅔
U+030155: 𰅕
U+030156: 𰅖
U+030157: 𰅗
U+030158: 𰅘
U+030159: 𰅙
U+03015A: 𰅚
U+03015B: 𰅛
U+03015C: 𰅜
U+03015D: 𰅝
U+03015E: 𰅞
U+03015F: 𰅟
U+030160: 𰅠
U+030161: 𰅡
U+030162: 𰅢
U+030163: 𰅣
U+030164: 𰅤
U+030165: 𰅥
U+030166: 𰅦
U+030167: 𰅧
U+030168: 𰅨
U+030169: 𰅩
U+03016A: 𰅪
U+03016B: 𰅫
U+03016C: 𰅬
U+03016D: 𰅭
U+03016E: 𰅮
U+03016F: 𰅯
U+030170: 𰅰
U+030171: 𰅱
U+030172: 𰅲
U+030173: 𰅳
U+030174: 𰅴
U+030175: 𰅵
U+030176: 𰅶
U+030177: 𰅷
U+030178: 𰅸
U+030179: 𰅹
U+03017A: 𰅺
U+03017B: 𰅻
U+03017C: 𰅼
U+03017D: 𰅽
U+03017E: 𰅾
U+03017F: 𰅿
U+030180: 𰆀
U+030181: 𰆁
U+030182: 𰆂
U+030183: 𰆃
U+030184: 𰆄
U+030185: 𰆅
U+030186: 𰆆
U+030187: 𰆇
U+030188: 𰆈
U+030189: 𰆉
U+03018A: 𰆊
U+03018B: 𰆋
U+03018C: 𰆌
U+03018D: 𰆍
U+03018E: 𰆎
U+03018F: 𰆏
U+030190: 𰆐
U+030191: 𰆑
U+030192: 𰆒
U+030193: 𰆓
U+030194: 𰆔
